Event ID,Event time,User name,Event name,Resources,AWS access key,AWS region,Error code,Source IP address
4acf9485-f005-4983-972a-40677730603c,"May 19, 2020, 23:17 (UTC-07:00)",CloudTrail,ConsoleLogin,[],,us-east-1,,73.162.248.202
bdd208ce-9928-42ff-b327-2a8b6c3547a9,"May 19, 2020, 23:14 (UTC-07:00)",root,CreateLoginProfile,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Account""}]",ASIAVDE7ADMFMQIQXAUT,us-east-1,,73.162.248.202
9847ee47-b5a8-4b30-abe5-9019aa29b522,"May 19, 2020, 23:14 (UTC-07:00)",root,CreateUser,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Account""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::350373288714:user/Account""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAVDE7ADMFK7KG3DH2U""}]",ASIAVDE7ADMFMQIQXAUT,us-east-1,,73.162.248.202
a3ed9918-898f-40cb-ab04-c73f3b31a08d,"May 19, 2020, 23:14 (UTC-07:00)",root,AddUserToGroup,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Account""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",ASIAVDE7ADMFMQIQXAUT,us-east-1,,73.162.248.202
f276ed16-ad71-4539-997d-4e7e3e6e1504,"May 19, 2020, 23:11 (UTC-07:00)",root,CreateLoginProfile,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",ASIAVDE7ADMFMQIQXAUT,us-east-1,,73.162.248.202
26d18416-d44f-4369-bd0d-e0f8e1047f43,"May 19, 2020, 23:11 (UTC-07:00)",root,AddUserToGroup,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",ASIAVDE7ADMFMQIQXAUT,us-east-1,,73.162.248.202
c8bfc5e7-8583-49bc-a48a-5d704915a199,"May 19, 2020, 23:11 (UTC-07:00)",root,CreateUser,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAVDE7ADMFPIWRQK4CO""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::350373288714:user/CloudTrail""}]",ASIAVDE7ADMFMQIQXAUT,us-east-1,,73.162.248.202
400170de-c680-4fda-a615-ec54cb84a3ee,"May 19, 2020, 23:08 (UTC-07:00)",root,CreateGroup,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAVDE7ADMFLVJA5MWEJ""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::350373288714:group/Reviewers""}]",ASIAVDE7ADMFMQIQXAUT,us-east-1,,73.162.248.202
7604c5ab-5900-4532-a718-07011bb5af28,"May 19, 2020, 23:08 (UTC-07:00)",root,AttachGroupPolicy,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",ASIAVDE7ADMFMQIQXAUT,us-east-1,,73.162.248.202
2ceec1fb-7fbb-420a-a7b8-6bb170933fad,"May 19, 2020, 23:07 (UTC-07:00)",root,AttachGroupPolicy,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",ASIAVDE7ADMFMQIQXAUT,us-east-1,,73.162.248.202
d295352f-6df9-4f9f-b312-a4896459b350,"May 19, 2020, 23:07 (UTC-07:00)",root,AttachGroupPolicy,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailFullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",ASIAVDE7ADMFMQIQXAUT,us-east-1,,73.162.248.202
f565c44f-3bad-4c14-96c0-b248a6ceb2d2,"May 19, 2020, 23:07 (UTC-07:00)",root,CreateGroup,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAVDE7ADMFOPSFZ2XCQ""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::350373288714:group/CloudTrailAdmins""}]",ASIAVDE7ADMFMQIQXAUT,us-east-1,,73.162.248.202
b3d089b8-96ad-4393-aa83-d1fa18fb0b7f,"May 19, 2020, 22:57 (UTC-07:00)",root,SetSecurityTokenServicePreferences,[],ASIAVDE7ADMFMQIQXAUT,us-east-1,,73.162.248.202
9548312f-bd88-4bab-98fa-224fa90872cd,"May 19, 2020, 21:52 (UTC-07:00)",root,ConsoleLogin,[],,us-east-1,,73.162.248.202
